round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,2.381249,0.053876,0.080000,0.000000,0.000000,0.000000,0.000000,0.190871,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.709793,0.504628,0.675303,0.000000,0.000000,0.000000,0.000000,0.214008,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.310786,0.012506,0.000000,0.000000,0.076655,0.000000,0.000000,0.111842,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,2.230375,0.083123,0.087931,0.000000,0.152709,0.000000,0.000000,0.220779,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.578034,0.482278,0.659691,0.000000,0.088180,0.000000,0.000000,0.111588,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.948043,0.380731,0.562787,0.000000,0.090909,0.000000,0.000000,0.087500,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.721793,0.623671,0.771043,0.000000,0.085960,0.000000,0.000000,0.103448,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.893577,0.352625,0.520672,0.000000,0.132841,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.079013,0.296141,0.456782,0.000000,0.100334,0.000000,0.000000,0.179551,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.528748,0.617589,0.780008,0.000000,0.063291,0.000000,0.000000,0.151515,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
