round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.741733,0.609253,0.749191,0.096386,0.052632,0.000000,0.000000,0.177156,0.076923,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,2.329456,0.186937,0.297665,0.164103,0.085714,0.000000,0.000000,0.153846,0.125000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.955700,0.088128,0.064275,0.163701,0.072289,0.000000,0.000000,0.135802,0.103986,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.854223,0.434516,0.590029,0.133333,0.093917,0.000000,0.000000,0.135593,0.145251,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.209074,0.107190,0.161963,0.050000,0.109890,0.000000,0.000000,0.114286,0.122137,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.971652,0.054004,0.000000,0.150649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.671497,0.648454,0.779902,0.167754,0.091185,0.000000,0.000000,0.157576,0.114025,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.821609,0.259689,0.361232,0.184946,0.091054,0.000000,0.000000,0.068966,0.134043,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.113738,0.234719,0.354639,0.120301,0.033333,0.000000,0.000000,0.000000,0.148649,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.994968,0.169517,0.242313,0.149660,0.075949,0.000000,0.000000,0.043478,0.168067,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.966365,0.279241,0.360121,0.138083,0.070596,0.000000,0.000000,0.098670,0.113808,0.000000,0,,N/A,N/A,153.55,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,1.544708,0.609711,0.749412,0.096386,0.052632,0.000000,0.000000,0.177156,0.148148,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,2.733146,0.189752,0.298391,0.164103,0.085714,0.000000,0.000000,0.153846,0.217822,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,2.022424,0.108521,0.065649,0.163701,0.072289,0.000000,0.000000,0.135802,0.191736,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.726324,0.438896,0.591908,0.133333,0.093917,0.000000,0.000000,0.135593,0.243386,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,2.474292,0.118954,0.163772,0.050000,0.109890,0.000000,0.000000,0.114286,0.242857,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,2.049892,0.054004,0.000000,0.150649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.436182,0.652236,0.781752,0.167754,0.091185,0.000000,0.000000,0.157576,0.196292,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.741601,0.276330,0.366494,0.184946,0.091054,0.000000,0.000000,0.068966,0.206544,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,2.322433,0.244499,0.357588,0.120301,0.033333,0.000000,0.000000,0.000000,0.243590,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,2.064130,0.177565,0.244105,0.149660,0.075949,0.000000,0.000000,0.043478,0.246649,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,2.011513,0.287047,0.361907,0.138083,0.070596,0.000000,0.000000,0.098670,0.193702,0.000000,0,,N/A,N/A,134.75,N/A,N/A,N/A,N/A,N/A,N/A,0
3,1,1.363380,0.536876,0.786509,0.096386,0.052632,0.000000,0.000000,0.193995,0.053459,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,2.363938,0.191441,0.287819,0.173469,0.085714,0.000000,0.000000,0.153846,0.336788,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.645034,0.362709,0.117840,0.169611,0.072289,0.000000,0.000000,0.152905,0.631255,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,1.482739,0.413491,0.618416,0.133333,0.093917,0.000000,0.000000,0.135593,0.297265,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,2.014124,0.209150,0.181534,0.050000,0.109890,0.000000,0.000000,0.166667,0.607843,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,1.621030,0.072626,0.000000,0.150649,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
