round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.597866,0.606047,0.754292,0.096386,0.000000,0.000000,0.000000,0.146919,0.070175,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,2.631321,0.186937,0.298828,0.162437,0.000000,0.000000,0.000000,0.000000,0.188679,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.197399,0.117990,0.068362,0.158621,0.000000,0.000000,0.000000,0.112500,0.238168,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.563050,0.422689,0.597620,0.117647,0.000000,0.000000,0.000000,0.070175,0.245211,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.710017,0.116340,0.166456,0.045455,0.000000,0.000000,0.000000,0.058824,0.270968,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,3.405642,0.054004,0.000000,0.150649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.663929,0.651196,0.784125,0.166512,0.000000,0.000000,0.000000,0.129231,0.203704,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.810758,0.268885,0.373876,0.167969,0.000000,0.000000,0.000000,0.101695,0.215772,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.338497,0.249389,0.362105,0.117647,0.000000,0.000000,0.000000,0.000000,0.289157,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,2.763154,0.174044,0.246960,0.145055,0.000000,0.000000,0.000000,0.043478,0.244275,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,2.268163,0.284752,0.365262,0.132838,0.000000,0.000000,0.000000,0.066282,0.196611,0.000000,0,,N/A,N/A,576.60,N/A,N/A,N/A,N/A,N/A,N/A,0
